City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,victoria,22.2855,114.1577,303.82,86,77,2.68,HK,1690901464
85,broome,42.2506,-75.833,294.63,63,0,3.09,US,1690901465
86,quchan,37.106,58.5095,302.1,21,0,7.77,IR,1690901467
87,georgetown,5.4112,100.3354,301.12,81,20,0.0,MY,1690901420
88,tuatapere,-46.1333,167.6833,278.84,76,100,9.68,NZ,1690901469
89,sao filipe,14.8961,-24.4956,298.55,84,89,2.59,CV,1690901470
90,clyde river,70.4692,-68.5914,276.28,100,75,3.6,CA,1690901471
91,port hardy,50.6996,-127.4199,285.15,100,75,1.54,CA,1690901367
92,inirida,3.8653,-67.9239,301.35,77,21,1.21,CO,1690901242
93,waingapu,-9.6567,120.2641,296.84,86,11,4.86,ID,1690901475
94,anadyr,64.75,177.4833,284.43,76,0,4.0,RU,1690901476
95,canon city,38.441,-105.2424,297.94,62,0,4.12,US,1690901477
96,kodiak,57.79,-152.4072,282.88,93,0,2.06,US,1690901479
97,biltine,14.5333,20.9167,307.24,39,67,7.34,TD,1690901480
98,poyarkovo,49.6,128.6833,296.73,73,90,2.47,RU,1690901481
99,lehututu,-23.9667,21.8667,292.89,13,0,4.25,BW,1690901482
100,bengkulu,-3.8004,102.2655,298.06,87,48,1.57,ID,1690901485
101,tire,38.0888,27.7351,307.56,20,0,4.05,TR,1690901486
102,shelburne,44.0787,-80.2041,293.48,53,42,2.34,CA,1690901487
103,sironj,24.1,77.7,300.46,76,84,6.2,IN,1690901488
104,oranjestad,12.524,-70.027,306.12,55,20,8.75,AW,1690901388
105,geraldton,-28.7667,114.6,287.38,77,100,3.6,AU,1690901292
106,islamkot,24.6997,70.177,302.47,77,42,9.32,PK,1690901492
107,swan river,52.1058,-101.2676,292.09,77,12,3.09,CA,1690901493
108,saint anthony,45.0205,-93.218,299.78,58,0,3.6,US,1690901495
109,mareeba,-17.0,145.4333,290.62,89,77,1.07,AU,1690901496
110,vaini,-21.2,-175.2,293.24,77,75,4.63,TO,1690901497
111,urumqi,43.801,87.6005,300.68,37,20,2.0,CN,1690901498
112,eenhana,-17.4667,16.3333,300.05,7,2,3.1,NA,1690901499
113,chingirlau,51.095,54.0814,300.76,33,10,4.86,KZ,1690901501
114,san cristobal,7.7669,-72.225,299.25,59,36,3.54,VE,1690901464
115,lhokseumawe,5.1801,97.1507,298.41,88,100,2.36,ID,1690901508
116,muros,42.7762,-9.0603,298.06,76,81,2.68,ES,1690901509
117,ostrovnoy,68.0531,39.5131,294.59,70,90,6.22,RU,1690901510
118,hasaki,35.7333,140.8333,297.76,90,76,5.23,JP,1690901511
119,mount gambier,-37.8333,140.7667,284.02,70,97,1.44,AU,1690901513
120,mataura,-46.1927,168.8643,279.53,89,100,5.23,NZ,1690901514
121,saint-philippe,-21.3585,55.7679,295.92,85,37,4.17,RE,1690901515
122,hofn,64.2539,-15.2082,287.16,67,75,2.57,IS,1690901516
123,turayf,31.6725,38.6637,313.29,6,0,7.2,SA,1690901517
124,mizan teferi,6.9833,35.5833,291.93,97,80,0.33,ET,1690901518
125,bambous virieux,-20.3428,57.7575,297.16,88,40,2.57,MU,1690901520
126,qaanaaq,77.484,-69.3632,275.87,99,100,1.14,GL,1690901521
127,iqaluit,63.7506,-68.5145,282.0,81,75,2.57,CA,1690901522
128,poum,-20.2333,164.0167,293.44,68,11,5.13,NC,1690901523
129,barrow,71.2906,-156.7887,285.16,94,100,4.63,US,1690901525
130,grand-lahou,5.1367,-5.0242,298.21,88,98,4.98,CI,1690901526
131,rivers,50.0308,-100.2403,292.68,57,5,5.98,CA,1690901527
132,aklavik,68.2191,-135.0107,294.29,50,18,1.1,CA,1690901528
133,praia da vitoria,38.7333,-27.0667,302.29,74,20,4.96,PT,1690901529
134,cidreira,-30.1811,-50.2056,293.19,72,9,3.1,BR,1690901531
